"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000000000E0	1.753385640736000E9	"2025-07-24 14:34:00.736 UTC-05:00"
"PAUSE"	1.370054650001111E1	1.753385654436000E9	"2025-07-24 14:34:14.436 UTC-05:00"
