"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.290188333E-1	-1.653184305E0	-3.373447575E0	-1.849847948E0	4.187493799E0
6.389908333E-1	1.954025450E0	-4.924671203E0	-3.790556949E-1	5.311712072E0
6.489628333E-1	1.494158604E0	-6.663630799E0	6.520458215E-1	6.860149351E0
6.589348333E-1	3.270347714E-3	-7.404494072E0	-1.323740042E0	7.521890112E0
6.689058333E-1	-1.443120305E0	-7.547140991E0	-3.367712041E0	8.389482567E0
6.788778333E-1	-2.948582161E0	-8.440017253E0	-2.956339370E0	9.416367159E0
6.888498333E-1	-3.792932673E0	-9.624697058E0	-4.486911217E0	1.127623625E1
6.988218333E-1	-2.736528500E0	-9.272646144E0	-7.288836731E0	1.210775353E1
7.087938333E-1	-1.366700412E0	-8.814054283E0	-6.823656812E0	1.123021439E1
7.187648333E-1	-1.434124656E0	-9.723594525E0	-5.148477475E0	1.109557679E1
7.287368333E-1	-9.327183124E-1	-1.062322140E1	-4.777312013E0	1.168526878E1
7.387088333E-1	-1.271523821E-1	-1.130053830E1	-5.359751995E0	1.250780856E1
7.486808333E-1	8.254093337E-1	-1.175817063E1	-6.797609221E0	1.360673981E1
7.586528333E-1	1.051928714E0	-1.150560834E1	-8.319817795E0	1.423744870E1
7.686238333E-1	2.263926418E-1	-1.082767865E1	-9.398143179E0	1.433928080E1
7.785958333E-1	-2.550286496E-1	-9.638834456E0	-9.819177790E0	1.376184660E1
7.885678333E-1	-2.468896177E-1	-8.566627014E0	-9.422134890E0	1.273674522E1
7.985398333E-1	-2.935259865E-1	-7.953737072E0	-8.915552591E0	1.195136682E1
8.085118333E-1	1.552041069E-1	-7.610316063E0	-7.994424337E0	1.103865116E1
8.184828333E-1	6.813141326E-1	-7.400370616E0	-7.700312898E0	1.070161170E1
8.284548333E-1	7.246008508E-1	-7.409337906E0	-9.766921223E0	1.228072004E1
8.384268333E-1	3.042404245E-1	-7.295659263E0	-1.093892310E1	1.315215742E1
8.483988333E-1	-5.218089601E-1	-6.519993362E0	-1.145805995E1	1.319354902E1
8.583698333E-1	-9.402815397E-1	-5.304235021E0	-1.060049444E1	1.189073256E1
8.683418333E-1	-1.055199793E0	-4.151345943E0	-9.314908649E0	1.025254324E1
8.783138333E-1	-1.412794306E0	-3.152776580E0	-7.991804785E0	8.706602760E0
8.882858333E-1	-1.153925132E0	-2.402478532E0	-7.067790345E0	7.553615470E0
8.982578333E-1	-7.223056725E-1	-2.483302255E0	-6.994535843E0	7.457348539E0
9.082288333E-1	8.135404726E-2	-2.332315160E0	-6.462208253E0	6.870694870E0
9.182008333E-1	1.086808525E0	-1.699532406E0	-4.743265430E0	5.154428204E0
9.281728333E-1	1.573628404E0	-1.514823249E0	-1.955096660E0	2.931449945E0
9.381448333E-1	2.140152557E0	-1.381807279E0	3.320353687E0	4.185020064E0
9.481168333E-1	2.741384028E0	-8.221547735E-1	1.012334176E1	1.052013181E1
9.580878333E-1	3.314423441E0	9.910825878E-2	1.502570818E1	1.538723924E1
9.680598333E-1	3.422744281E0	-2.872853994E-2	1.860885737E1	1.892103529E1
9.780318333E-1	4.577890384E0	-1.100429029E0	2.381785411E1	2.427876024E1
9.880038333E-1	6.667192338E0	-9.914493544E-1	2.790473742E1	2.870729517E1
9.979758333E-1	8.328874547E0	-2.855276533E-1	3.040613886E1	3.152752698E1
1.007946833E0	9.756686257E0	-1.393118864E-1	3.194993243E1	3.340674358E1
1.017918833E0	1.013264702E1	-2.818962949E-1	3.192651550E1	3.349705051E1
1.027890833E0	1.062120879E1	-1.952909180E-1	2.986391720E1	3.169703085E1
1.037862833E0	1.135975773E1	-1.540818435E-1	2.708334396E1	2.936963324E1
1.047834833E0	1.088145432E1	-3.165577304E-1	2.405401380E1	2.640268616E1
1.057805833E0	9.070692671E0	-3.880176858E-1	2.086865653E1	2.275805019E1
1.067777833E0	5.716170779E0	8.669001527E-2	1.674478607E1	1.769378377E1
1.077749833E0	4.753722006E-1	1.402083961E0	1.293482572E1	1.301927550E1
1.087721833E0	-5.850852036E0	3.644952801E0	1.043537141E1	1.250660333E1
1.097693833E0	-1.003654218E1	5.693969486E0	9.206196631E0	1.476169109E1
1.107664833E0	-1.255100981E1	6.700020946E0	8.094574862E0	1.636888115E1
1.117636833E0	-1.464609524E1	6.905608463E0	6.987156656E0	1.763564266E1
1.127608833E0	-1.662915738E1	7.255436851E0	6.494151592E0	1.927029434E1
1.137580833E0	-1.934794075E1	7.688690388E0	5.803504207E0	2.161340862E1
1.147552833E0	-2.256424850E1	8.336646082E0	4.480495067E0	2.446875179E1
1.157523833E0	-2.561198102E1	8.755663403E0	2.832368458E0	2.721502387E1
1.167495833E0	-2.709369587E1	8.305857568E0	1.647725490E0	2.838609915E1
1.177467833E0	-2.659376127E1	6.739791952E0	1.126874816E0	2.745765432E1
1.187439833E0	-2.499965592E1	4.741166572E0	1.157446398E0	2.547157511E1
1.197411833E0	-2.279379381E1	2.386164800E0	1.723046399E0	2.298303086E1
1.207382833E0	-2.088658175E1	-1.845504051E-1	2.357903745E0	2.102006342E1
1.217354833E0	-1.959462308E1	-2.153992917E0	2.928170993E0	1.992895192E1
1.227326833E0	-1.872838732E1	-3.773872212E0	2.755966984E0	1.930258939E1
1.237298833E0	-1.789158527E1	-5.026456025E0	2.152005156E0	1.870842617E1
1.247270833E0	-1.698804895E1	-6.270149438E0	1.140039822E0	1.814409744E1
1.257241833E0	-1.598586893E1	-7.457852254E0	-3.413019776E-2	1.763997536E1
1.267213833E0	-1.514713263E1	-8.277909631E0	-7.601859820E-1	1.727823189E1
1.277185833E0	-1.445094091E1	-8.958799767E0	-1.376417023E0	1.705826223E1
1.287157833E0	-1.376841297E1	-9.764202268E0	-1.936028890E0	1.698991023E1
1.297129833E0	-1.287558875E1	-1.046010045E1	-2.288503143E0	1.674609607E1
1.307100833E0	-1.194862029E1	-1.123677909E1	-2.704667022E0	1.662377680E1
1.317072833E0	-1.128588050E1	-1.215306117E1	-3.001656461E0	1.685461171E1
1.327044833E0	-1.065722880E1	-1.267388670E1	-2.869704684E0	1.680592559E1
1.337016833E0	-9.916779513E0	-1.295777136E1	-2.012603441E0	1.644070945E1
1.346988833E0	-9.137235739E0	-1.383060512E1	-1.205773051E0	1.662012646E1
1.356959833E0	-8.012368273E0	-1.471663956E1	-6.765170038E-1	1.677006859E1
1.366931833E0	-7.050187887E0	-1.497973035E1	-7.354844195E-1	1.657221795E1
1.376903833E0	-6.281434565E0	-1.493433023E1	-1.308251352E0	1.625429670E1
1.386875833E0	-6.286259687E0	-1.502747520E1	-1.660478268E0	1.637373690E1
1.396847833E0	-5.974955680E0	-1.492867831E1	-2.364656695E0	1.625291152E1
1.406818833E0	-5.641663803E0	-1.484307975E1	-2.995772992E0	1.615920922E1
1.416790833E0	-5.257029864E0	-1.484699622E1	-3.080137789E0	1.604857964E1
1.426762833E0	-4.425668065E0	-1.497851647E1	-2.737454699E0	1.585673837E1
1.436734833E0	-3.778865442E0	-1.513147378E1	-2.629070710E0	1.581623646E1
1.446706833E0	-3.494585803E0	-1.510656932E1	-2.691832384E0	1.573742445E1
1.456677833E0	-3.160562732E0	-1.519090488E1	-2.790950291E0	1.576521968E1
1.466649833E0	-2.909455518E0	-1.557515115E1	-2.724120709E0	1.607703637E1
1.476621833E0	-2.415144040E0	-1.610125321E1	-2.769567023E0	1.651525892E1
1.486593833E0	-1.721231423E0	-1.664361053E1	-2.907241470E0	1.698306397E1
1.496565833E0	-1.134050884E0	-1.701639625E1	-3.220557504E0	1.735556981E1
1.506536500E0	-6.908397585E-1	-1.737358862E1	-3.993975150E0	1.784014234E1
1.516508500E0	-1.599603783E-1	-1.808527897E1	-4.234026157E0	1.857497995E1
1.526480500E0	8.052912574E-1	-1.892396616E1	-3.726019476E0	1.930409828E1
1.536452500E0	1.441608069E0	-1.990193871E1	-2.523703299E0	2.011304245E1
1.546424500E0	2.202150585E0	-2.073632235E1	-1.020513963E0	2.087788256E1
1.556395500E0	2.883706134E0	-2.095321195E1	2.080281454E-1	2.115174053E1
1.566367500E0	3.012099588E0	-2.058504318E1	8.588548225E-1	2.082196865E1
1.576339500E0	2.307994251E0	-2.024040829E1	1.852103219E0	2.045559218E1
1.586311500E0	9.429126406E-1	-1.974883287E1	3.749746308E0	2.012376907E1
1.596282500E0	5.616054752E-1	-1.891623497E1	6.119803491E0	1.988947815E1
1.606254500E0	6.773905778E-1	-1.852013757E1	8.055131299E0	2.020741185E1
1.616226500E0	1.042850327E0	-1.818488512E1	9.754992319E0	2.066246497E1
1.626198500E0	1.271857697E0	-1.737231744E1	1.088057139E1	2.053781559E1
1.636170500E0	1.147656990E0	-1.622386815E1	1.196688933E1	2.019250987E1
1.646141500E0	6.696991503E-1	-1.454375727E1	1.368496969E1	1.998118535E1
1.656113500E0	5.863845134E-1	-1.271676901E1	1.560091398E1	2.013575372E1
1.666085500E0	9.074182874E-1	-1.111318649E1	1.749024525E1	2.074210696E1
1.676057500E0	1.448340114E0	-9.643278340E0	1.947520423E1	2.178013053E1
1.686029500E0	2.606232070E0	-8.268494444E0	2.113812429E1	2.284689792E1
1.696000500E0	3.190972931E0	-7.532309529E0	2.232644691E1	2.377789366E1
1.705972500E0	4.032410653E0	-7.236908194E0	2.299329145E1	2.444022561E1
1.715944500E0	4.444507209E0	-7.058528940E0	2.359331635E1	2.502440912E1
1.725916500E0	4.260822777E0	-7.201144284E0	2.447539456E1	2.586611739E1
1.735888500E0	4.120989538E0	-7.132740047E0	2.563825840E1	2.692914461E1
1.745859500E0	4.143719419E0	-6.920188496E0	2.761130075E1	2.876531503E1
1.755831500E0	4.771458950E0	-6.739355750E0	2.966779223E1	3.079551318E1
1.765803500E0	4.051508828E0	-6.020524786E0	3.194618787E1	3.276004216E1
1.775775500E0	1.550531902E0	-4.897885985E0	3.337317513E1	3.376628872E1
1.785747500E0	-1.442757778E0	-3.280333589E0	3.216877500E1	3.236776519E1
1.795718500E0	-4.167428125E0	-1.740427832E0	2.862331111E1	2.897741336E1
1.805690500E0	-5.444875760E0	-7.142312524E-1	2.432031939E1	2.493260382E1
1.815662500E0	-6.293354114E0	-3.259512824E-1	2.197363528E1	2.285942251E1
1.825634500E0	-6.644143199E0	-3.436142591E-1	2.254924688E1	2.351023702E1
1.835606500E0	-7.584643278E0	-7.224617931E-1	2.546368627E1	2.657909109E1
1.845577500E0	-1.074661402E1	-4.359409171E-1	2.912034081E1	3.104309918E1
1.855549500E0	-1.557533475E1	8.587147817E-1	3.048848637E1	3.424728084E1
1.865521500E0	-2.098485474E1	2.461685099E0	2.911269967E1	3.597184043E1
1.875493500E0	-2.523299490E1	4.170620412E0	2.509699335E1	3.583234826E1
1.885465500E0	-2.751099762E1	6.020010231E0	2.115733824E1	3.522397585E1
1.895436500E0	-2.859278397E1	7.037284836E0	1.945409578E1	3.529210274E1
1.905408500E0	-3.021357601E1	6.513040438E0	1.989921156E1	3.675946806E1
1.915380500E0	-3.186091208E1	4.846354474E0	2.138288406E1	3.867599515E1
1.925352500E0	-3.251173057E1	2.858926511E0	2.192350359E1	3.931699499E1
1.935324500E0	-3.341714619E1	1.112169872E0	2.063911589E1	3.929269253E1
1.945295500E0	-3.418967096E1	-3.595107188E-1	1.797274813E1	3.862748405E1
1.955267500E0	-3.371325153E1	-1.805623117E0	1.452508945E1	3.675352809E1
1.965239500E0	-3.189011307E1	-3.413917909E0	1.088116664E1	3.386788944E1
1.975211500E0	-2.964023079E1	-5.121769148E0	7.748456533E0	3.106146132E1
1.985183500E0	-2.760296263E1	-6.786781347E0	5.460681369E0	2.894482661E1
1.995154500E0	-2.571338109E1	-8.537204994E0	4.936082629E0	2.753954880E1
2.005126500E0	-2.319410121E1	-1.065164354E1	5.611882764E0	2.613268202E1
2.015098500E0	-2.055087673E1	-1.276720359E1	5.488951487E0	2.480863983E1
2.025070500E0	-1.781803081E1	-1.431674263E1	4.863759003E0	2.336894292E1
2.035042500E0	-1.533502004E1	-1.546200987E1	4.536158806E0	2.224439986E1
2.045014500E0	-1.382711901E1	-1.652722287E1	5.054323854E0	2.213333472E1
2.054985500E0	-1.287919999E1	-1.743997323E1	5.697955533E0	2.241635911E1
2.064957500E0	-1.217069170E1	-1.793270055E1	5.191190216E0	2.228577891E1
2.074929500E0	-1.140394748E1	-1.869618203E1	3.571485752E0	2.218902321E1
2.084901500E0	-1.020761300E1	-1.941961826E1	2.088970417E0	2.203816539E1
2.094872500E0	-9.092878761E0	-1.939858465E1	1.975226870E0	2.151481006E1
2.104844500E0	-8.386563177E0	-1.962776978E1	3.445072458E0	2.162064552E1
2.114816500E0	-7.594540275E0	-2.023869857E1	4.294593955E0	2.203918099E1
2.124788500E0	-6.601093658E0	-2.078783632E1	4.412009554E0	2.225251457E1
2.134760500E0	-5.856230305E0	-2.123839235E1	4.381523341E0	2.246246847E1
