"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000000000E0	1.753318597598928E9	"2025-07-23 19:56:37.599 UTC-05:00"
"PAUSE"	9.492827875001240E0	1.753318607091402E9	"2025-07-23 19:56:47.091 UTC-05:00"
